route_type,date_type,fare_type,fare_price
L,W,A,12.5
L,W,C,6.2
L,W,S,6.2
L,W,D,6.2
L,W,AS,4.8
L,W,CS,2.3
L,W,SS,2.3
L,W,DS,2.3
L,S,A,18.7
L,S,C,9.3
L,S,S,9.3
L,S,D,9.3
L,S,AS,6.2
L,S,CS,3.1
L,S,SS,3.1
L,S,DS,3.1
L,W,F,11.4
L,S,F,11.4
